name,route,invest_priority,replicability,b2b_b2c,sector,product_type,category,url,build_analysis_ready
"Deeptrace",build_only,low,medium,b2b,"AI/ML",software,"AI IT operations automation",https://deeptrace.com/,True
"Electrifi Mobility",build_only,low,medium,b2b,"logistics",software,"logistics software",https://electrifimobility.com/,True
"eShot Labs",build_only,low,medium,unknown,"developer tools",software,"Web3 video creation",https://eshotlabs.com/,True
"Genspark AI",build_only,low,medium,unknown,"AI/ML",software,"general AI/ML software",https://genspark.ai/,False
"Golden Analytics",build_only,low,medium,unknown,"analytics",software,"general analytics software",https://www.goldenanalytics.com/,False
"Inner AI",build_only,low,medium,unknown,"AI/ML",software,"general AI/ML software",https://www.innerai.com/,False
"Juno",build_only,low,medium,unknown,"fintech",software,"fintech software",https://juno.tax/,False
"Lucky",build_only,low,medium,b2c,"fintech",software,"fintech consumer rewards",https://luckyegypt.com/,True
"Monetary Metals",build_only,low,easy,unknown,"fintech",software,"fintech",https://monetary-metals.com/,True
"Moonbounce",build_only,low,medium,b2b,"AI/ML",software,"AI policy enforcement",https://moonbounce.io/,True
"Natter",build_only,low,medium,b2b,"analytics",software,"analytics insights",https://natter.co/,True
"Pixie Chess",build_only,low,easy,b2c,"gamedev",software,"gamedev chess",https://www.pixiechess.xyz/,False
"Pomo",build_only,low,easy,unknown,"AI/ML",software,"generic AI/ML software",https://usepomo.ai/,False
"Ricerca",build_only,low,medium,b2b,"AI/ML",software,"AI operational efficiency",https://recerqa.com/,True
"WorkOnGrid",build_only,low,medium,b2b,"automation",software,"low-code utility automation",https://www.workongrid.com/,False
"Zanskar Securities",build_only,low,easy,unknown,"fintech",software,"fintech software",https://zanskar.xyz/,True
